scientific_name,authority,category,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
Terminalia januariensis,DC.,VU,Fuzzy (phonetic),FALSE,0.957,1,2434282,Terminalia januarensis,DC.,Species,Accepted,NA,171178-1,2434282,0,3,1,NA
Strychnos benthami,C.B.Clarke,VU,Fuzzy (phonetic),FALSE,0.947,1,2598017,Strychnos benthamii,C.B.Clarke,Species,Accepted,NA,547063-1,2598017,0,10,1,NA
Syzygium fergusoni,Gamble,EN,Fuzzy (phonetic),FALSE,0.947,1,199569,Syzygium fergusonii,(Trimen) Gamble,Species,Accepted,NA,601677-1,199569,9,6,1,NA
Psydrax montanum,(Thwaites) Ridsdale,VU,Fuzzy (edit distance),FALSE,0.938,1,170266,Psydrax montanus,(Thwaites) Ridsdale,Species,Accepted,NA,992543-1,170266,0,19,1,NA
Schinus venturi,Barkley,VU,Fuzzy (phonetic),FALSE,0.938,1,2480115,Schinus venturii,F.A.Barkley,Species,Accepted,NA,71074-1,2480115,4,7,1,NA
Siphoneugenia occidentalis,Legrand,VU,Fuzzy (phonetic),FALSE,0.962,1,192525,Siphoneugena occidentalis,D.Legrand,Species,Accepted,NA,601237-1,192525,2,7,1,NA
Diplokeleba herzogi,Radlk.,VU,Fuzzy (phonetic),FALSE,0.95,1,2771044,Diplokeleba herzogii,Radlk.,Species,Accepted,NA,81699-2,2771044,0,6,1,NA
Linospadix microcarya,(Domin) Burret,LR/nt,Fuzzy (edit distance),FALSE,0.909,2,112590,Linospadix microcaryus,(Domin) Burret,Species,Accepted,NA,667999-1,112590,0,14,1,NA
Nephrosperma van-houtteanum,(H.Wendl. ex Van Houtte) Balf.f.,LC,Fuzzy (phonetic),FALSE,0.963,1,135134,Nephrosperma vanhoutteanum,(H.Wendl. ex Van Houtte) Balf.f.,Species,Accepted,NA,668408-1,135134,0,32,1,NA
Nothopegia castanaefolia,(Roth) Ding Hou,CR,Fuzzy (phonetic),FALSE,0.917,2,2379752,Nothopegia castaneifolia,(Roth) Ding Hou,Species,Accepted,NA,70091-1,2379752,0,15,1,NA
Drypetes travancoria,(Bourd.) S.K. Jain,EN,Fuzzy (edit distance),FALSE,0.952,1,65074,Drypetes travancorica,(Bourd.) Santapau & S.K.Jain,Species,Synonym,NA,345207-1,64869,12,8,1,NA
