scientific_name,authority,category,original_match_type,resolved_match_type,manually_entered_name,Notes
Quercus mexiae,L.M.Gonzï¿½lez,DD,Fuzzy (phonetic),No valid match found,NA,"GonzáLez-ViLLarreaL, L. M. (2018). Dos nuevas especies de encinos (Quercus: Fagaceae), adicionales para la Flora de Jalisco y Áreas Colindantes, en el Occidente de México. Ibugana, 9, 47-71."
Sacoglottis glomerata,Mart.,LC,Fuzzy (edit distance),New/undescribed species,NA,NA
Sesamothamnus leistneranus,Giess ex Ihlenf.,LC,Fuzzy (edit distance),No valid match found,NA,Namibian
Sterculia multiovula,E.L.Taylor ex Mondragï¿½n,LC,Fuzzy (edit distance),New/undescribed species,NA,NA
Stryphnodendron harbesonii,Elm.,VU,Fuzzy (edit distance),No valid match found,NA,Phillippines legume
Terminalia igaratensis,(N.F.Mattos) Gere &amp; Boatwr.,EN,Fuzzy (edit distance),Manually matched,Buchenavia igarataensis,NA
Terminalia pabstii,Marq. &amp; C.Valente,EN,Fuzzy (edit distance),Manually matched,Buchenavia pabstii,NA
Tetrachyron orizabense,(Klatt) Wussow &amp; Urbatsch,NT,Fuzzy (edit distance),Manually matched,Tetrachyron orizabaensis,NA
Trichilia deminuta,D.Penn.,CR,Fuzzy (edit distance),New/undescribed species,NA,NA
Vantanea aracaensis,(Nees &amp; Mart.) Benth.,LC,Fuzzy (edit distance),New/undescribed species,NA,NA
Vepris laurifolia,(Hutch. &amp; Dalziel) O.Lachenaud,CR,Fuzzy (edit distance),New/undescribed species,NA,NA
Virotia azurea,H.C. Hopkins &amp; Pillon,VU,Fuzzy (edit distance),New/undescribed species,NA,NA
