scientific_name,authority,category
Brieya fasciculata,De Wild.,LC
Brieya latipetala,Exell,CR
Cleistochlamys kirkii,(Benth.) Oliv.,LC
Dielsiothamnus divaricatus,(Diels) R.E.Fr.,LC
Duguetia dilabens,Chatrou &amp; Repetur,EN
Hexalobus bussei,Diels,EN
Hexalobus crispiflorus,A.Rich.,LC
Hexalobus monopetalus,(A.Rich.) Engl. &amp; Diels,LC
Isolona campanulata,Engl. &amp; Diels,LC
Isolona cooperi,Hutch. &amp; Dalziel ex G.P.Cooper &amp; Record,LC
Isolona hexaloba,(Pierre) Engl. &amp; Diels,LC
Isolona letestui,Pellegr.,EN
Isolona lebrunii,Boutique,VU
Isolona thonneri,(De Wild. &amp; T.Durand) Engl. &amp; Diels,LC
Monodora angolensis,Welw.,LC
Monodora crispata,Engl.,LC
Monodora grandidieri,Baill.,LC
Monodora laurentii,De Wild.,LC
Monodora myristica,(Gaertn.) Dunal,LC
Monodora stenopetala,Oliv.,VU
Monodora tenuifolia,Benth.,LC
Monodora undulata,(P.Beauv.) Couvreur,LC
Zingiber singapurense,Škornick.,CR
Zingiber album,Nurainas,EN
Globba albiflora,Ridl.,NT
Caiophora andina,Urb. &amp; Gilg,LC
Centropogon gloriosus,(Britton) Zahlbr.,EN
Dendrophorbium acuminatissimum,(Cabrera) D.J.N.Hind,VU
Dendrophorbium biserrifolium,(Kuntze) D.J.N.Hind,NT
Dendrophorbium coroicense,(Rusby) C.Jeffrey,LC
Diplostephium cinereum,Cuatrec.,EN
Disterigma pernettyoides,(Griseb. ex Wedd.) Nied.,LC
Fabiana squamata,Phil.,EN
Freziera apolobambensis,D.Santam. &amp; A.Fuentes,CR
Gynoxys cochabambensis,Cabrera,DD
Gynoxys compressissima,Cuatrec.,VU
Gynoxys neovelutina,Cuatrec.,EN
Gynoxys tablaensis,Cabrera,DD
Gentiana woodii,J.S.Pringle,LC
Gentianella armerioides,(Griseb.) J.S.Pringle,EN
Gentianella bockii,(Gilg) T.N.He &amp; S.W.Liu,VU
Gentianella boliviana,(Pax) J.S.Pringle,VU
Gentianella bridgesii,(Gilg) Fabris ex T.N.Ho &amp; S.W.Liu,DD
Gentianella chrysantha,(Gilg) T.N.He &amp; S.W.Liu,VU
Gentianella palcana,(Gilg) T.N.He &amp; S.W.Liu,EN
Gentianella undulatisepala,J.S.Pringle,DD
Gentianella vargasii,Fabris,VU
Gentianella zaratei,J.S.Pringle,VU
Hedyosmum maximum,(Kuntze) K.Schum.,VU
Loricaria lucida,Cuatrec.,DD
Loricaria thyoides,Sch.Bip.,LC
Loricaria unduaviensis,Cuatrec.,EN
Lupinus altiplani,C.P.Sm.,DD
Miconia recondita,Wurdack,VU
Miconia valida,Cogn.,LC
Monnina autraniana,Chodat,VU
Monnina bridgesii,Chodat,LC
Nototriche auricoma,(Phil.) A.W.Hill,LC
Nototriche flabellata,(Wedd.) A.W.Hill,LC
Nototriche hillii,Krapov.,LC
Nototriche lanata,A.W.Hill,EN
Nototriche polygama,Krapov.,DD
Nototriche sajamensis,(Hieron.) A.W.Hill,VU
Nototriche stipularis,(Phil.) A.E.Martic.,DD
Nototriche turritella,A.W.Hill,VU
Nasa ferruginea,(Urb. &amp; Gilg) Weigend,LC
Oreopanax thaumasiophyllus,Harms,EN
Orthaea ignea,Sleumer,DD
Ocotea comata,van der Werff,VU
Ourisia cotapatensis,Meudt &amp; S.Beck,VU
Ourisia pulchella,Wedd.,DD
Parastrephia phyliciformis,(Meyen) Cabrera,LC
Parastrephia quadrangularis,(Meyen) Cabrera,LC
Parastrephia teretiuscula,(Kuntze) Cabrera,VU
Pentacalia beckii,(Cabrera) Cuatrec.,LC
Pentacalia jelskii,(Hieron.) Cuatrec.,LC
Pentacalia lewisii,H.Rob. &amp; Cuatrec.,VU
Pycnophyllopsis keraiopetala,Mattf.,EN
Pycnophyllum spathulatum,Mattf.,VU
Polyclita turbinata,(Kuntze) A.C.Sm.,LC
Ceratostema bracteolatum,Luteyn,EN
Ceratostema calycinum,(A.C.Sm.) Sleumer,LC
Ceratostema campii,A.C.Sm.,LC
Ceratostema charianthum,A.C.Sm.,LC
Ceratostema cutucuense,Luteyn,DD
Ceratostema fasciculatum,Luteyn,LC
Ceratostema glans,Luteyn,CR
Ceratostema lanceolatum,Benth.,EN
Ceratostema lanigerum,(Sleumer) Luteyn,EN
Ceratostema loranthiflorum,Benth.,LC
Ceratostema macbrydeorum,Luteyn,CR
Ceratostema madisonii,Luteyn,DD
Ceratostema megabracteatum,Luteyn,EN
Ceratostema megalobum,Luteyn,CR
Ceratostema nodosum,Luteyn,VU
Ceratostema nubigena,(A.C.Sm.) A.C.Sm.,EN
Ceratostema oellgaardii,Luteyn,NT
Ceratostema oyacachiensis,Luteyn,LC
Ceratostema pedunculatum,Luteyn,NT
Ceratostema pendens,Luteyn,EN
Etlingera poulsenii,Škornick.,LC
Adelmeria dicranochila,Docot &amp; Banag,EN
Adelmeria isarogensis,Docot &amp; Banag,EN
Adelmeria leonardoi,Docot &amp; Banag,CR
Adelmeria undulata,Docot &amp; Banag,EN
Vanoverberghia rubrobracteata,Docot &amp; Ambida,LC
Curcuma newmanii,Škornick.,CR
Curcuma xanthella,Škornick.,LC
Amomum subcapitatum,Y.M.Xia,LC
Mwasumbia alba,Couvreur &amp; D.M.Johnson,VU
Neostenanthera gabonensis,(Engl. &amp; Diels) Exell,LC
Neostenanthera myristicifolia,(Oliv.) Exell,LC
Neostenanthera neurosericea,(Diels) Exell,DD
Piptostigma glabrescens,Oliv.,NT
Piptostigma goslineanum,"Ghogue, Sonké &amp; Couvreur",VU
Piptostigma longepilosum,Engl.,EN
Piptostigma macranthum,Mildbr. &amp; Diels,LC
Piptostigma macrophyllum,"Ghogue, Sonké &amp; Couvreur",VU
Piptostigma mayndongtsaeanum,"Ghogue, Sonké &amp; Couvreur",LC
Piptostigma mortehanii,De Wild.,LC
Piptostigma multinervium,Engl. &amp; Diels,LC
Piptostigma pilosum,Oliv.,LC
Piptostigma submontanum,"Ghogue, Sonké &amp; Couvreur",EN
Sirdavidia solannona,Couvreur &amp; Sauquet,VU
Uvariastrum germainii,Boutique,LC
Uvariastrum hexaloboides,(R.E.Fr.) R.E.Fr. ex N.Robson,LC
Uvariastrum insculptum,(Engl. &amp; Diels) Sprague &amp; Hutch.,LC
Uvariastrum pierreanum,Engl.,LC
Uvariodendron calophyllum,R.E.Fr.,LC
Uvariodendron molundense,(Diels) R.E.Fr.,LC
Uvariopsis bakeriana,(Hutch. &amp; Dalziel) Robyns &amp; Ghesq.,LC
Uvariopsis citrata,Couvreur &amp; Niangadouma,DD
Uvariopsis congensis,Robyns &amp; Ghesq.,LC
Uvariopsis congolana,(De Wild.) R.E.Fr.,LC
Uvariopsis globiflora,Keay,DD
Uvariopsis solheidii,(De Wild.) Robyns &amp; Ghesq.,LC
Uvariopsis zenkeri,Engl.,VU
Senecio canescens,(Bonpl.) Cuatrec.,LC
Senecio pflanzii,(Perkins) Cuatrec.,LC
Senecio serratifolius,(Meyen &amp; Walp.) Cuatrec.,LC
Werneria glaberrima,Phil.,VU
Werneria orbignyana,Wedd.,LC
Werneria pectinata,Lingelsh.,LC
Werneria plantaginifolia,Wedd. ex Klatt,LC
Werneria solivifolia,Sch. Bip.,NT
Werneria staticifolia,Sch. Bip.,VU
Xenophyllum ciliolatum,(A. Gray) V.A. Funk,LC
Xenophyllum digitatum,(Wedd.) V.A. Funk,NT
Xenophyllum humile,(Kunth) V.A. Funk,LC
Xenophyllum incisum,(Phil.) V.A. Funk,LC
Xenophyllum lycopodioides,(S.F. Blake) V.A. Funk,NT
Xenophyllum poposum,(Phil.) V.A. Funk,LC
Siphocampylus andinus,Britton,LC
Siphocampylus ayersiae,Lammers,NT
Siphocampylus siberiensis,Lagom. &amp; D. Santam.,VU
Valeriana castellanosii,Borsini,LC
Valeriana cephalantha,Schltdl.,LC
Valeriana johannae,Weberl.,EN
Valeriana mandoniana,(Wedd.) Höck,LC
Valeriana parvula,Killip,NT
Valeriana pycnantha,A. Gray,LC
Valeriana pyramidalis,Kunth,LC
Symplocos robusta,B.Ståhl,EN
Themistoclesia peruviana,A.C. Sm.,VU
Themistoclesia unduavensis,Luteyn,VU
Tropaeolum cochabambae,Buchenau,LC
Tropaeolum kuntzeanum,Buchenau,LC
Weinmannia trianaea,Wedd.,LC
Weinmannia yungasensis,A.Fuentes &amp; Z.S.Rogers,VU
Ribes bolivianum,Jancz.,LC
Ribes incarnatum,Wedd.,LC
Ceratostema pensile,(A.C. Sm.) A.C. Sm.,CR
Ceratostema pubescens,Luteyn,EN
Ceratostema reginaldii,(Sleumer) A.C. Sm.,LC
Ceratostema silvicola,A.C. Sm.,EN
Ceratostema ventricosum,A.C. Sm.,EN
Espeletia pycnophylla,Cuatrec.,LC
Diogenesia amplectens,(Sleumer) Sleumer,EN
Diogenesia gracilipes,(A.C. Sm.) Sleumer,CR
Diogenesia oligantha,(A.C. Sm.) Sleumer,EN
Disterigma bracteatum,Luteyn,CR
Disterigma campii,A.C. Sm.,EN
Disterigma leucanthum,A.C. Sm.,LC
Disterigma micranthum,A.C. Sm.,CR
Disterigma rimbachii,(A.C. Sm.) Luteyn,NT
Gaultheria stereophylla,A.C. Sm.,CR
Macleania alata,Luteyn,EN
Macleania coccoloboides,A.C. Sm.,VU
Macleania dodsonii,Luteyn,EN
Macleania ericae,Sleumer,VU
Macleania maldonadensis,Luteyn,EN
Macleania mollis,A.C. Sm.,VU
Macleania poortmannii,Drake,LC
Macleania recumbens,A.C. Sm.,LC
Macleania rotundifolia,Sodiro &amp; Hoerold,LC
Macleania subsessilis,Luteyn,VU
Oreanthes ecuadorensis,Luteyn,EN
Oreanthes fragilis,(A.C. Sm.) Luteyn,VU
Oreanthes glanduliferus,A.C. Sm.,EN
Oreanthes hypogaeus,(A.C. Sm.) Luteyn,EN
Oreanthes rotundifolius,Luteyn,DD
Oreanthes sperlingii,Luteyn,DD
Orthaea coriacea,Luteyn,DD
Orthaea ecuadorensis,Luteyn,EN
Orthaea oriens,Luteyn,VU
Plutarchia ecuadorensis,Luteyn,EN
Psammisia aurantiaca,Luteyn,EN
Psammisia corallina,A.C. Sm.,DD
Psammisia cuyujensis,Luteyn,DD
Psammisia flaviflora,A.C. Sm.,EN
Psammisia incana,Luteyn,EN
Psammisia orientalis,Luteyn,EN
Psammisia sclerantha,A.C. Sm.,LC
Sphyrospermum flaviflorum,A.C. Sm.,CR
Sphyrospermum haughtii,A.C. Sm.,CR
Sphyrospermum lanceolatum,Luteyn,NT
Sphyrospermum microphyllum,Sleumer,CR
Sphyrospermum muscicola,(Hook.) A.C. Sm.,CR
Sphyrospermum sodiroi,(Hoerold) A.C. Sm.,VU
Sphyrospermum spruceanum,Sleumer,CR
Themistoclesia campii,A.C. Sm.,CR
Themistoclesia inflata,A.C. Sm.,CR
Thibaudia albiflora,A.C. Sm.,DD
Thibaudia clivalis,A.C. Sm.,DD
Thibaudia gunnarii,Luteyn,VU
Thibaudia harlingii,Luteyn,DD
Thibaudia inflata,Luteyn,VU
Thibaudia joergensenii,A.C. Sm.,EN
Thibaudia lateriflora,A.C. Sm.,EN
Thibaudia litensis,Luteyn,VU
Thibaudia martiniana,A.C. Sm.,LC
Thibaudia retusifolia,Luteyn,DD
Thibaudia sessiliflora,(A.C. Sm.) Luteyn,VU
Thibaudia steyermarkii,A.C. Sm.,VU
Vaccinium distichum,Luteyn,EN
Azorella biloba,(Schltdl.) Wedd.,LC
Azorella compacta,Phil.,LC
Azorella corymbosa,(Ruiz &amp; Pav.) Pers.,LC
Azorella crenata,(Ruiz &amp; Pav.) Pers.,LC
Azorella diapensioides,A. Gray,LC
Azorella multifida,(Ruiz &amp; Pav.) Pers.,LC
Azorella pulvinata,Wedd.,LC
Niphogeton azorelloides,Mathias &amp; Constance,LC
Ascidiogyne sanchezvegae,Cabrera,NT
Baccharis davidsonii,Cuatrec.,CR
Chuquiraga rotundifolia,Wedd.,LC
Chuquiraga weberbaueri,Tovar,LC
Loricaria macbridei,Cuatrec.,NT
Mniodes andina,(A. Gray) A. Gray ex Hook. f. &amp; A.B. Jacks.,LC
Mniodes aretioides,(Wedd.) Cuatrec.,LC
Mniodes coarctata,Cuatrec.,LC
Mniodes pulvinata,Cuatrec.,LC
Paranephelius ferreyrii,H. Rob.,NT
Senecio calvus,Cuatrec.,NT
Senecio condimentarius,Cabrera,LC
Senecio sanmarcosensis,H. Beltrán,VU
Werneria aretioides,Wedd.,LC
Werneria caespitosa,Wedd.,LC
Werneria weberbaueriana,Rockh.,DD
Xenophyllum dactylophyllum,(Sch. Bip.) V.A. Funk,LC
Xenophyllum rosenii,(R.E. Fr.) V.A. Funk,LC
Aschersoniodoxa cachensis,(Speg.) Al-Shehbaz,LC
Aschersoniodoxa peruviana,"Al-Shehbaz, Navarro &amp; A. Cano",EN
Brayopsis chacasensis,Al-Shehbaz &amp; A. Cano,LC
Dactylocardamum imbricatifolium,Al-Shehbaz,LC
Dactylocardamum polyspermum,"Al-Shehbaz, A. Cano &amp; H. Trinidad",EN
Draba matthioloides,Gilg &amp; O.E. Schulz,VU
Draba ochropetala,O.E. Schulz,VU
Englerocharis ancashensis,"Al-Shehbaz, A. Cano &amp; H. Trinidad",EN
Englerocharis peruviana,Muschl.,LC
Petroravenia werdermannii,(O.E. Schulz) Al-Shehbaz,LC
Weberbauera ayacuchoensis,"Al-Shehbaz, A. Cano &amp; H. Trinidad",EN
Weberbauera cymosa,Al-Shehbaz,DD
Weberbauera incisa,"Al-Shehbaz, A. Cano &amp; P. Gonzáles",NT
Weberbauera rosulans,(O.E. Schulz) Al-Shehbaz,EN
Arenaria alpamarcae,A. Gray,NT
Arenaria aphanantha,Wedd.,LC
Arenaria horizontalis,(Muschl.) Molinari,DD
Arenaria peruviana,(Muschl.) Molinari,DD
Pycnophyllopsis cryptantha,(Mattf.) Molinari,EN
Pycnophyllopsis macrophylla,(Muschl.) Molinari,LC
Pycnophyllopsis tetrasticha,(Mattf.) Timaná,LC
Tovomita colombiana,L.Marinho,DD
Tovomita longirostrata,L.Marinho,DD
Commiphora ogadensis,Chiov.,DD
Pycnophyllopsis weberbaueri,(Muschl.) Timaná,NT
Pycnophyllum aristatum,Mattf.,EN
Pycnophyllum aschersonianum,Muschl.,DD
Pycnophyllum bryoides,(Phil.) Rohrb.,LC
Pycnophyllum carinatum,Muschl.,DD
Pycnophyllum holleanum,Mattf.,EN
Pycnophyllum macropetalum,Mattf.,LC
Pycnophyllum molle,J. Rémy,LC
Pycnophyllum tetrastichum,J. Rémy,LC
Aretiastrum aschersonianum,(Graebn. ex Weberb.) Graebn.,NT
Aretiastrum imbricatum,(Killip) Killip,LC
Aretiastrum maximum,Graebn.,DD
Stangea erikae,Graebn.,EN
Stangea paulae,Graebn.,VU
Stangea rhizantha,(A. Gray) Killip,VU
Stangea wandae,Graebn.,LC
Valeriana globularis,A. Gray,DD
Bejaria resinosa,Mutis ex L. f.,LC
Demosthenesia mandonii,(Britton) A.C. Sm.,LC
Disterigma alaternoides,(Kunth) Nied.,LC
Disterigma empetrifolium,(Kunth) Drude,LC
Gaultheria glomerata,(Cav.) Sleumer,LC
Pernettya prostrata,(Cav.) DC.,LC
Vaccinium floribundum,Kunth,LC
Lupinus conicus,C.P. Sm.,DD
Lupinus cuzcensis,C.P. Sm.,LC
Gentianella alborosea,(Gilg) Fabris,EN
Gentianella chamuchui,(Reimers) Fabris,NT
Gentianella formosissima,(D. Don ex G. Don) Fabris ex J.S. Pringle,VU
Gentianella incurva,(Hook.) Fabris,NT
Gentianella lilacina,(Gilg) Zarucchi,LC
Gentianella nitida,(Griseb.) Fabris,NT
Gentianella raimondiana,(Wedd.) J.S. Pringle,EN
Gentianella sagasteguii,J.S. Pringle,VU
Gentianella thyrsoidea,(Hook.) Fabris,LC
Gentianella weberbaueri,(Gilg) Fabris,LC
Gentianella weigendii,J.S. Pringle,EN
Arcytophyllum filiforme,(Ruiz &amp; Pav.) Standl.,LC
Nototriche antoniana,Chanco,NT
Nototriche aretioides,A.W. Hill,NT
Nototriche azorella,A.W. Hill,LC
Nototriche coccinea,A.W. Hill,NT
Nototriche lopezii,Krapov.,EN
Nototriche peruviana,Chanco,EN
Nototriche staffordiae,B.L. Burtt &amp; A.W. Hill,LC
Nototriche tovari,Krapov.,EN
Brachyotum figueroae,J.F. Macbr.,LC
Brachyotum naudinii,Triana,LC
Plantago rigida,Kunth,LC
Krapfia gigas,(Lourteig) Tamura,EN
Krapfia grace-servatiae,H. Trinidad &amp; W. Mend.,CR
Krapfia gusmanii,(Humb. ex Caldas) Standl. &amp; J.F. Macbr.,LC
Krapfia haemantha,(Ulbr.) Tamura,VU
Krapfia macropetala,(DC.) Tamura,EN
Krapfia weberbaueri,(Ulbr.) Standl. &amp; J.F. Macbr.,EN
Laccopetalum giganteum,(Wedd.) Ulbr.,VU
Arjona glaberrima,Pilg.,NT
Salpichroa hirsuta,(Meyen) Miers,LC
Viola granulosa,Wedd.,LC
Viola kermesina,W. Becker,EN
Eucalyptus abdita,Brooker &amp; Hopper,DD
Eucalyptus absita,Grayling &amp; Brooker,EN
Eucalyptus acaciiformis,H.Deane &amp; Maiden,LC
Eucalyptus accedens,W.Fitzg.,LC
Eucalyptus acies,Brooker,LC
Eucalyptus sabulosa,Rule,VU
Eucalyptus rummeryi,Maiden,LC
Eucalyptus rugulata,D.Nicolle,EN
Eucalyptus rugosa,R.Br. ex Blakely,NT
Eucalyptus rudis,Endl.,NT
Eucalyptus rudderi,Maiden,LC
Eucalyptus rubida,H.Deane &amp; Maiden,NT
Eucalyptus roycei,"S.G.M.Carr, D.J.Carr &amp; A.S.George",LC
Eucalyptus rodwayi,R.T.Baker &amp; H.G.Sm.,LC
Eucalyptus racemosa,Cav.,LC
Eucalyptus quadricostata,Brooker,LC
Eucalyptus pyriformis,Turcz.,VU
Eucalyptus pulverulenta,Sims,LC
Eucalyptus pulchella,Desf.,NT
Eucalyptus pterocarpa,C.A.Gardner ex P.J.Lang,LC
Eucalyptus psammitica,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus pruinosa,Schauer,LC
Eucalyptus pruiniramis,L.A.S.Johnson &amp; K.D.Hill,DD
Eucalyptus protensa,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus prava,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus polybractea,F.Muell. ex R.T.Baker,LC
Eucalyptus extrica,D.Nicolle,LC
Eucalyptus extensa,L.A.S.Johnson &amp; K.D.Hill,VU
Eucalyptus exserta,F.Muell.,LC
Eucalyptus exilis,Brooker,LC
Eucalyptus exilipes,Brooker &amp; A.R.Bean,LC
Eucalyptus exigua,Brooker &amp; Hopper,LC
Eucalyptus ewartiana,Maiden,LC
Eucalyptus eudesmioides,F.Muell.,NT
Eucalyptus erythronema,Turcz.,EN
Eucalyptus erythrocorys,F.Muell.,LC
Eucalyptus erosa,A.R.Bean,LC
Eucalyptus eremophila,(Diels) Maiden,LC
Eucalyptus eremicola,Boomsma,LC
Eucalyptus ecostata,(Maiden) D.Nicolle &amp; M.E.French,NT
Eucalyptus dunnii,Maiden,NT
Eucalyptus dundasii,Maiden,LC
Corymbia scabrida,(Brooker &amp; A.R.Bean) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia rhodops,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,NT
Corymbia porrecta,(S.T.Blake) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia pocillum,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia pauciseta,K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia paractia,K.D.Hill &amp; L.A.S.Johnson,NT
Corymbia papillosa,K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia oocarpa,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia ligans,K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia leptoloma,(Brooker &amp; A.R.Bean) K.D.Hill &amp; L.A.S.Johnson,NT
Corymbia lenziana,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia latifolia,(F.Muell.) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia kombolgiensis,(Brooker &amp; Dunlop) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia hylandii,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia gummifera,(Gaertn.) K.D.Hill &amp; L.A.S.Johnson,NT
Corymbia greeniana,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia ficifolia,(F.Muell.) K.D.Hill &amp; L.A.S.Johnson,NT
Corymbia ferriticola,(Brooker &amp; Edgecombe) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia eximia,(Schauer) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia dunlopiana,K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia confertiflora,(Kippist ex F.Muell.) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia clarksoniana,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia chippendalei,(D.J.Carr &amp; S.G.M.Carr) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia arenaria,(Blakely) K.D.Hill &amp; L.A.S.Johnson,LC
Corymbia abbreviata,(Blakely &amp; Jacobs) K.D.Hill &amp; L.A.S.Johnson,LC
Eucalyptus yarraensis,Maiden &amp; Cambage,EN
Eucalyptus woollsiana,F.Muell. ex R.T.Baker,EN
Eucalyptus willisii,"Ladiges, Humphries &amp; Brooker",LC
Eucalyptus williamsiana,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus pluricaulis,Brooker &amp; Hopper,VU
Eucalyptus pleurocorys,L.A.S.Johnson &amp; K.D.Hill,DD
Eucalyptus platypus,Hook.f.,EN
Eucalyptus placita,L.A.S.Johnson &amp; K.D.Hill,DD
Eucalyptus phoenicea,F.Muell.,LC
Eucalyptus persistens,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus pellita,F.Muell.,LC
Eucalyptus pauciflora,Sieber ex Spreng.,NT
Eucalyptus patens,Benth.,NT
Eucalyptus parvula,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus parramattensis,C.C.Hall,NT
Eucalyptus cneorifolia,A.Cunn. ex DC.,VU
Eucalyptus camphora,F.Muell. ex R.T.Baker,NT
Eucalyptus cadens,J.D.Briggs &amp; Crisp,VU
Eucalyptus brookeriana,A.M.Gray,NT
Eucalyptus blaxlandii,Maiden &amp; Cambage,LC
Eucalyptus banksii,Maiden,NT
Eucalyptus bancroftii,(Maiden) Maiden,NT
Eucalyptus bakeri,Maiden,LC
Eucalyptus cypellocarpa,L.A.S.Johnson,LC
Eucalyptus dalrympleana,Maiden,LC
Eucalyptus dawsonii,R.T.Baker,VU
Eucalyptus dealbata,A.Cunn. ex Schauer,LC
Eucalyptus deanei,Maiden,LC
Eucalyptus decipiens,Endl.,NT
Eucalyptus decolor,A.R.Bean &amp; Brooker,LC
Eucalyptus decorticans,(F.M.Bailey) Maiden,LC
Eucalyptus decurva,F.Muell.,NT
Eucalyptus deflexa,Brooker,LC
Eucalyptus delicata,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus densa,Brooker &amp; Hopper,NT
Eucalyptus denticulata,I.O.Cook &amp; Ladiges,LC
Eucalyptus depauperata,L.A.S.Johnson &amp; K.D.Hill,DD
Eucalyptus dielsii,C.A.Gardner,VU
Eucalyptus diptera,C.R.P.Andrews,LC
Eucalyptus distuberosa,D.Nicolle,LC
Eucalyptus dolichorhyncha,(Brooker) Brooker &amp; Hopper,EN
Eucalyptus dolorosa,Brooker &amp; Hopper,CR
Eucalyptus doratoxylon,F.Muell.,LC
Eucalyptus dura,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus dwyeri,Maiden &amp; Blakely,LC
Eucalyptus ebbanoensis,Maiden,LC
Eucalyptus educta,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus effusa,Brooker,LC
Eucalyptus elaeophloia,"Chappill, Crisp &amp; Prober",EN
Eucalyptus elliptica,(Blakely &amp; McKie) L.A.S.Johnson &amp; K.D.Hill,DD
Eucalyptus erectifolia,Brooker &amp; Hopper,EN
Eucalyptus populnea,F.Muell.,VU
Eucalyptus porosa,Miq.,VU
Eucalyptus praetermissa,Brooker &amp; Hopper,VU
Eucalyptus preissiana,Schauer,NT
Eucalyptus prolixa,D.Nicolle,LC
Eucalyptus prominens,Brooker,LC
Eucalyptus propinqua,H.Deane &amp; Maiden,LC
Eucalyptus provecta,A.R.Bean,LC
Eucalyptus proxima,D.Nicolle &amp; Brooker,LC
Eucalyptus pumila,Cambage,VU
Eucalyptus punctata,A.Cunn. ex DC.,LC
Eucalyptus purpurata,D.Nicolle,CR
Eucalyptus pyrocarpa,L.A.S.Johnson &amp; Blaxell,LC
Eucalyptus quadrangulata,H.Deane &amp; Maiden,LC
Eucalyptus quadrans,Brooker &amp; Hopper,NT
Eucalyptus quaerenda,(L.A.S.Johnson &amp; K.D.Hill) Byrne,VU
Eucalyptus quinniorum,J.T.Hunter &amp; J.J.Bruhl,DD
Eucalyptus radiata,Sieber ex DC.,NT
Eucalyptus risdonii,Hook.f.,VU
Eucalyptus rosacea,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus rowleyi,D.Nicolle &amp; M.E.French,LC
Eucalyptus rubiginosa,Brooker,LC
Eucalyptus salubris,F.Muell.,NT
Eucalyptus scyphocalyx,(F.Muell. ex Benth.) Maiden &amp; Blakely,LC
Eucalyptus semiglobosa,(Brooker) L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus sepulcralis,F.Muell.,LC
Eucalyptus sessilis,(Maiden) Blakely,LC
Eucalyptus sicilifolia,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus victrix,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus sieberi,L.A.S.Johnson,LC
Eucalyptus silvestris,Rule,CR
Eucalyptus singularis,L.A.S.Johnson &amp; Blaxell,LC
Eucalyptus sparsa,Boomsma,LC
Eucalyptus sphaerocarpa,L.A.S.Johnson &amp; Blaxell,LC
Eucalyptus splendens,Rule,EN
Eucalyptus spreta,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus staigeriana,F.Muell. ex F.M.Bailey,LC
Eucalyptus stenostoma,L.A.S.Johnson &amp; Blaxell,LC
Eucalyptus stoatei,C.A.Gardner,EN
Eucalyptus striaticalyx,W.Fitzg.,LC
Eucalyptus stricklandii,Maiden,LC
Eucalyptus strzeleckii,Rule,EN
Eucalyptus sturgissiana,L.A.S.Johnson &amp; Blaxell,NT
Eucalyptus surgens,Brooker &amp; Hopper,DD
Eucalyptus talyuberlup,D.J.Carr &amp; S.G.M.Carr,NT
Eucalyptus taurina,A.R.Bean &amp; Brooker,NT
Eucalyptus tectifica,F.Muell.,LC
Eucalyptus tenella,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus urnigera,Hook.f.,LC
Eucalyptus tenuis,Brooker &amp; Hopper,LC
Eucalyptus tephroclada,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus urna,D.Nicolle,NT
Eucalyptus tephrodes,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus terebra,L.A.S.Johnson &amp; K.D.Hill,LC
Eucalyptus terrica,A.R.Bean,LC
Eucalyptus tetrapleura,L.A.S.Johnson,LC
Eucalyptus tetrodonta,F.Muell.,LC
