scientific_name,authority,category
Xylopia lamarckii,Baill.,CR
Weinmannia tinctoria,Sm.,CR
Diospyros melanida,Poir.,VU
Diospyros neraudii,A.DC.,VU
Diospyros nodosa,Poir.,CR
Diospyros pterocalyx,Bojer ex A.DC.,VU
Diospyros tessellaria,Poir.,VU
Elaeocarpus bojeri,R.E.Vaughan,CR
Elaeocarpus integrifolius,Lam.,CR
Casearia mauritiana,Bosser,CR
Ficus lateriflora,Vahl,CR
Eugenia bojeri,Baker,CR
Olax psittacorum,(Lam.) Vahl,CR
Zanthoxylum heterophyllum,(Lam.) Sm.,CR
Trochetiopsis erythroxylon,(G.Forst.) Marais,EW
Trochetiopsis melanoxylon,(Sol. ex Sims) Marais,EX
Annona spraguei,Saff.,VU
Guatteria panamensis,(R.E.Fr.) R.E.Fr.,LC
Stenanona panamensis,Standl.,EN
Dendropanax dariensis,Seem.,DD
Dendropanax sessiliflorus,(Standl. &amp; A.C.Sm.) A.C.Sm.,LC
Sciodaphyllum seibertii,"(A.C.Sm.) Lowry, G.M.Plunkett &amp; M.M.Mora",VU
Amphitecna spathicalyx,(A.H.Gentry) A.H.Gentry,LC
Parmentiera morii,A.H.Gentry,DD
Tabebuia striata,A.H.Gentry,VU
Gyranthera darienensis,Pittier,LC
Hampea micrantha,A.Robyns,LC
Matisia dolichopoda,(A.Robyns) Cuatrec.,LC
Protium inconforme,Pitt.,VU
Protium panamense,(Rose) I.M.Johnston,LC
Protium pittieri,(Rose) Engl.,VU
Buxus citrifolia,(Willd.) Spreng.,LR/nt
Capparis crotonantha,Standl.,DD
Quadrella mirifica,(Standl.) Iltis &amp; Cornejo,CR
Preslianthus panamensis,(Iltis) Iltis,LC
Capparis uniflora,Woodson,DD
Steriphoma macranthum,Standl.,DD
Moquilea chiriquiensis,(Prance) Sothers &amp; Prance,DD
Caryodendron angustifolium,Standl.,DD
Pera aperta,Croiz.,DD
Casearia atlantica,Sleumer,LC
Casearia panamensis,T.Samar. &amp; M.H.Alford,VU
Clusia dukei,Maguire,VU
Clusia cupulata,(Maguire) Maguire,VU
Clusia longipetiolata,Schery,VU
Clusia osseocarpa,Maguire,VU
Vismia jefensis,N.Robson,LC
Ocotea viridiflora,Lundell,VU
Persea obtusifolia,L.E.Kopp,VU
Couratari guianensis,Aubl.,VU
Gustavia fosteri,S.A.Mori,VU
Gustavia monocaulis,S.A.Mori,EN
Browneopsis excelsa,Pittier,VU
Centrolobium yavizanum,Pitt.,DD
Copaifera panamensis,(Britton) Standl.,VU
Inga hayesii,Benth.,LC
Inga pauciflora,Walp. &amp; Duchass.,LC
Inga saffordiana,Pitt.,LC
Dahlstedtia calcarata,(F.J.Herm.) M.J.Silva &amp; A.M.G.Azevedo,EN
Lonchocarpus chiricanus,Pittier,LC
Machaerium chambersii,Dwyer,VU
Macrolobium pittieri,(Rose) Schery,EN
Ormosia cruenta,Rudd,DD
Swartzia nuda,Schery,EN
Wercklea cocleana,(A.Robyns) Fryxell,EN
Wercklea grandiflora,Fryxell,EN
Blakea brunnea,Gleason,EN
Conostegia chiriquensis,Gleason,VU
Meriania panamensis,Gleason,EN
Mouriri panamensis,Morley,VU
Hyperbaena allenii,Standl.,VU
Cecropia longipes,Pitt.,EN
Cecropia maxonii,Pitt.,DD
Iryanthera megistocarpa,A.H.Gentry,CR
Virola megacarpa,A.H.Gentry,EN
Ardisia antonensis,Lund.,DD
Ardisia furfuracella,Standl.,VU
Ardisia geniculata,Lund.,DD
Ardisia glomerata,Lundell,EN
Ardisia hagenii,Lundell,DD
Ardisia microcalyx,Lund.,EN
Ardisia opaca,Lund.,LR/nt
Ardisia panamensis,Lund.,VU
Ardisia scheryi,Lund.,EN
Ardisia subsessilifolia,Lundell,VU
Parathesis amplifolia,Lundell,LC
Myrcia johnstonii,(McVaugh) A.R.Lourenço &amp; Parra-Os.,CR
Eugenia salamancana,Standl.,DD
Neea amplexicaulis,Dwyer &amp; Hayden,EN
Neea darienensis,Dwyer &amp; M.V.Hayden,VU
Ouratea cocleensis,Dwyer,VU
Piper cordulatum,C.DC.,LR/nt
Piper distigmatum,Yuncker,DD
Piper lucigaudens,C. DC.,LR/nt
Rhamnidium caloneurum,Standl.,DD
Tocoyena pittieri,(Standl.) Standl.,VU
Pouteria euryphylla,(Standl.) Baehni,CR
Saurauia seibertii,Standley,LC
Rinorea brachythrix,Blake,LC
Rinorea dasyadena,Robyns,LR/lc
Annona danforthii,(Standl.) H.Rainer,LC
Ilex costaricensis,J.D.Sm.,LC
Ilex pallida,Standl.,LC
Ilex vulcanicola,Standl.,NT
Oreopanax oerstedianus,Marchal,VU
Quercus costaricensis,Liebm.,VU
Oreomunnea pterocarpa,Oerst.,NT
Ocotea brenesii,Standl.,LC
Ocotea mollifolia,Mez &amp; Pittier,LC
Ocotea rivularis,Standl. &amp; L.O.Williams,NT
Persea brenesii,Standl.,VU
Inga latipes,Pitt.,VU
Inga stenophylla,Standley,EN
Trichilia pittieri,C. DC.,VU
Manilkara spectabilis,(Pittier) Standl.,CR
Bribria crenata,(S.F.Blake) Wahlert &amp; H.E.Ballard,LR/nt
Cymbopetalum mayanum,Lundell,LC
Ilex quercetorum,I.M.Johnst.,LC
Oreopanax arcanus,A.C.Sm.,VU
Viburnum mortonianum,Standley &amp; Steyerm.,DD
Eschweilera pittieri,Knuth,LR/lc
Ormosia panamensis,Benth.,VU
Parathesis panamensis,Lundell,DD
Ouratea patelliformis,Dwyer,DD
Aiouea guatemalensis,(Lundell) Renner,VU
Inga micheliana,Harms,LC
Lonchocarpus phlebophyllus,Standley &amp; Steyerm.,LC
Pithecellobium saxosum,Standley &amp; Steyerm.,EN
Trichilia chirriactensis,(Standley &amp; Steyermark) Pennington,CR
Blepharidium guatemalense,Standl.,LC
Pouteria areolatifolia,Lundell,CR
Pouteria briocheoides,Lundell,CR
Ilex williamsii,Standl.,CR
Amphitecna molinae,L.O.Williams,EN
Viburnum molinae,Lundell,CR
Viburnum subpubescens,Lundell,CR
Maytenus williamsii,A.Molina,CR
Connarus popenoei,Standl.,EN
Casearia williamsiana,Sleumer,EN
Alfaroa hondurensis,L.O.Williams ex W.E.Manning,VU
Juglans olanchana,Standl. &amp; L.O.Williams,NT
Lonchocarpus molinae,Standley &amp; L.O. Williams,LC
Lonchocarpus sanctuarii,Standley &amp; L.O. Williams,LC
Lonchocarpus trifolius,Standley &amp; L.O. Williams,CR
Eugenia lancetillae,Standley,CR
Forestiera hondurensis,Standley &amp; L.O. Williams,CR
Allenanthus hondurensis,Standley,VU
Ternstroemia landae,Standley &amp; L.O. Williams,LC
Hampea reynae,Fryxell,VU
Viburnum elatum,Benth.,LC
Crossopetalum parvifolium,L.O. Williams,EN
Monteverdia matudae,(Lundell) Biral,VU
Wimmeria acuminata,L.O.Williams,EN
Wimmeria chiapensis,Lundell,EN
Wimmeria montana,Lundell,VU
Platymiscium albertinae,Standl. &amp; L.O.Williams,CR
Taxus globosa,Schltdl.,EN
Quercus brandegeei,Goldman,EN
Quercus cedrosensis,C.H.Mull.,VU
Quercus deliquescens,C.H.Müll.,DD
Quercus depressa,Bonpl.,LC
Quercus devia,Goldman,EN
Quercus fulva,Liebm.,LC
Quercus hintonii,E.F.Warb.,EN
Quercus hypoxantha,Trel.,LC
Quercus martinezii,C.H.Müll.,LC
Quercus peninsularis,Trel.,NT
Quercus planipocula,Trel.,LC
Quercus rysophylla,Weath.,NT
Quercus uxoris,McVaugh,LC
Tontelea hondurensis,A.C.Sm.,CR
Couratari scottmorii,Prance,EN
Gustavia verticillata,Miers,VU
Poupartia borbonica,J.F.Gmel.,CR
Hernandia mascarenensis,(Meisn.) Kubitzki,EN
Aloe eminens,Reynolds &amp; P.R.O.Bally,EN
Betula raddeana,Trautv.,LC
Cornus darvasica,(Pojark.) Pilip.,CR
Microbiota decussata,Kom.,LC
Alfaroa mexicana,D.E.Stone,EN
Ocotea clarkei,Lundell,LR/cd
Persea floccosa,Mez,VU
Persea liebmannii,Mez,LC
Vachellia chiapensis,(Saff.) Seigler &amp; Ebinger,LR/lc
Magnolia schiedeana,Schltl.,VU
Hampea breedlovei,Fryx.,CR
